333,0.589898/0.010184,0.599698/0.010814,0.576641/0.011704,0.584792/0.010649,0.586839/0.010814,0.668658/0.014052,0.596418/0.010844,0.575126/0.010839,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
1,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
1,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
1,0.000000/0.019995,0.740443/0.025091,0.718904/0.020351,0.651200/0.029112,0.728033/0.026994,0.736015/0.019046,0.695136/0.054755,0.769358/0.055238,
19,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
19,0.000000/0.047264,0.683352/0.061186,0.680431/0.027977,0.604017/0.032867,0.759061/0.033236,0.735705/0.008273,0.700824/0.007018,0.783384/0.101905,
19,0.796480/0.047367,0.667091/0.046616,0.676274/0.023813,0.602154/0.026270,0.759055/0.033230,0.799771/0.123483,0.745715/0.098387,0.749899/0.021731,
21,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
19,0.000000/0.047367,0.667091/0.046616,0.676274/0.023813,0.602154/0.026270,0.759055/0.033230,0.799771/0.123483,0.745715/0.098387,0.749899/0.021731,
21,0.790529/0.016384,0.755542/0.029189,0.723013/0.008706,0.751472/0.006958,0.775664/0.018396,0.907929/0.016256,0.805470/0.019528,0.789362/0.026203,
